address,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,label
0x057c66dbf8b83b50d50f92981d1aaad02dba4487,149,66,4,59,20,1890,12,0.0726474890297416,0.9215017064846417,0.005850804485616773,0.4429530201342282,0.026845637583892617,0.3959731543624161,0.1342281879194631,0
0x058e49378461c239dae065114cd9fa1c0dbc25c1,316,49,66,35,166,1052,70,0.21974965229485396,0.7315716272600834,0.048678720445062586,0.1550632911392405,0.2088607594936709,0.11075949367088607,0.5253164556962026,0
0x0591a42188996397fc7cd6db729045146c37696c,352,76,43,167,65,154,822,0.26506024096385544,0.11596385542168675,0.6189759036144579,0.2159090909090909,0.12215909090909091,0.4744318181818182,0.1846590909090909,0
0x059615ea15f7f0e2a276103127bbace30223d294,20,20,0,0,0,100,0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0
0x0596e5e05fd430f7d83b38b23e250bfa98900d7f,40,20,5,5,10,60,10,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.5,0.125,0.125,0.25,0
0x05a6d48421e84a791c040cda72bb4320bde7e2e9,75,75,0,0,0,1058,0,0.06619593998234775,0.9338040600176523,0.0,1.0,0.0,0.0,0.0,0
0x05ae6dd50b5a71366fde5eb538a9d41eb3523922,71,24,27,14,6,364,6,0.16099773242630386,0.8253968253968254,0.013605442176870748,0.3380281690140845,0.38028169014084506,0.19718309859154928,0.08450704225352113,0
0x05d38f2a8bbc1433d5d8cefafe953b2597147d30,10,10,0,0,0,0,10,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0
0x05dd62c007cde143b402fa5da3937c40c70b4b14,126,60,0,66,0,2102,2,0.05650224215246637,0.9426008968609866,0.0008968609865470852,0.47619047619047616,0.0,0.5238095238095238,0.0,0
0x05e18136F048d648eE73Dd5D269d590Ff2873C33,56,56,0,0,0,572,0,0.08917197452229299,0.910828025477707,0.0,1.0,0.0,0.0,0.0,0
0x05e7e06774ffeade0e77a7a58e8a16738f30a2c3,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x05e85d73eaf6fef228294fdf867abba98552a99f,30,5,5,15,5,10,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0
0x05eb198b38bbb89c22247010672341572479cb16,459,160,61,217,21,798,236,0.3074346952444742,0.5344943067649028,0.1580709979906229,0.3485838779956427,0.1328976034858388,0.47276688453159044,0.0457516339869281,0
0x05f71263372AC109Cd13Faa86d13a0e5830FCEDc,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x05f795e90de1350a2eca301e673d56a5f9e02970,650,173,55,325,90,604,610,0.3487124463519313,0.3240343347639485,0.3272532188841202,0.26615384615384613,0.08461538461538462,0.5,0.13846153846153847,0
0x05fBf1E3f105df6a4553f3C7f2ed93070A4BAB46,632,32,5,441,154,1036,354,0.3125618199802176,0.5123639960435212,0.17507418397626112,0.05063291139240506,0.007911392405063292,0.6977848101265823,0.24367088607594936,0
0x06091b32533835265bfa6ef8b32b04747ba77bb2,100,79,10,11,0,736,6,0.1187648456057007,0.8741092636579573,0.007125890736342043,0.79,0.1,0.11,0.0,0
0x06105bf02b36dd91bc12c9ac2f1c8858cf3acc26,72,62,0,10,0,224,10,0.23529411764705882,0.7320261437908496,0.032679738562091505,0.8611111111111112,0.0,0.1388888888888889,0.0,0
0x061bf8eb985f02a5d267addca60e692533d7779c,90,90,0,0,0,362,10,0.19480519480519481,0.7835497835497836,0.021645021645021644,1.0,0.0,0.0,0.0,0
0x062082fe1e7c5dfa7729fbf0d330b9bf65cde510,4,1,0,3,0,0,6,0.4,0.0,0.6,0.25,0.0,0.75,0.0,0
0x062263af47ffa76f1b4b5c3aa0ef2b62ade436ea,53,0,0,53,0,0,3260,0.015997585270147902,0.0,0.9840024147298521,0.0,0.0,1.0,0.0,0
0x0635b1911496bd0fc9937fbeba8d6b2d4e161f04,114,30,53,19,12,744,8,0.13163972286374134,0.859122401847575,0.009237875288683603,0.2631578947368421,0.4649122807017544,0.16666666666666666,0.10526315789473684,0
0x0659724a5293127789660734d64c18254e7dbd18,0,0,0,0,0,0,150,0.0,0.0,1.0,,,,,0
0x0667fc9067d13554094d6015cf78905d44514b4e,446,185,117,93,51,1176,132,0.2542759407069555,0.6704675028506272,0.07525655644241733,0.4147982062780269,0.2623318385650224,0.2085201793721973,0.11434977578475336,0
0x0669398307efefb60030ff328a0cb6a3a840182c,0,0,0,0,0,296,0,0.0,1.0,0.0,,,,,0
0x067039dd2371efe930daac4a3eb1d9922407d6d1,45,20,0,25,0,30,30,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.4444444444444444,0.0,0.5555555555555556,0.0,0
0x0677f5ad9b72aa29f7671cebf86ce3735618c3da,30,15,0,15,0,30,10,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5,0.0,0.5,0.0,0
0x068d4b395064c94883b508fa2eb75b9dd08b5e4d,0,0,0,0,0,0,0,,,,,,,,0
0x0697df7dc18a02b7357b742363f23af5994cb6ea,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x0697f9d4db21472b3461aa07be39b16cd5b56eca,174,112,0,61,0,1176,14,0.12756598240469208,0.8621700879765396,0.010263929618768328,0.6436781609195402,0.0,0.3505747126436782,0.0,0
0x0699b6fef115d0f684d9d96964876183f11b231a,624,135,7,465,17,382,860,0.33440514469453375,0.20471596998928188,0.4608788853161844,0.21634615384615385,0.011217948717948718,0.7451923076923077,0.027243589743589744,0
0x069a1bc19a1786a8091419bd1893f4687e65b918,197,106,17,66,8,492,58,0.2637215528781794,0.6586345381526104,0.07764390896921017,0.5380710659898477,0.08629441624365482,0.3350253807106599,0.04060913705583756,0
0x06ad9bacc335d658550c3be1fd1a2972f0ed6efd,0,0,0,0,0,188,0,0.0,1.0,0.0,,,,,0
0x06bfc56c83203da2b5e3e50351df9696f42a2e1f,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x06d0bab6af8fcb162f044a0fe5eb56dad29735d6,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
0x06d782793e8b14c7b02bab9b139d8e296995f292,30,5,0,15,10,10,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.16666666666666666,0.0,0.5,0.3333333333333333,0
0x06dd7ed96a510628405688a2306c33f10583f152,51,51,0,0,0,1658,0,0.02984201287302516,0.9701579871269749,0.0,1.0,0.0,0.0,0.0,0
0x06eaf8e306194b117164b25ae42bcb4d996ee83b,346,124,33,93,96,108,994,0.23895027624309392,0.07458563535911603,0.68646408839779,0.3583815028901734,0.0953757225433526,0.26878612716763006,0.2774566473988439,0
0x0701793adc79cc1e5327bee2f30bdf59f8cbd9b0,59,59,0,0,0,998,0,0.05581835383159887,0.9441816461684012,0.0,1.0,0.0,0.0,0.0,0
0x07204feeaf2cbbde2be760909af2f5ed6e2d14b4,212,25,22,100,65,256,132,0.35333333333333333,0.4266666666666667,0.22,0.1179245283018868,0.10377358490566038,0.4716981132075472,0.30660377358490565,0
0x07315f6ddf3348c6d5f561ca6cb7451f103075aa,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x073671a608032b2d6f8b2a0f4924da8216339a12,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x0755e59d505c9b473aec50b476df3ea2045739aa,20,20,0,0,0,60,0,0.25,0.75,0.0,1.0,0.0,0.0,0.0,0
0x075dc757633700b257e090d62b62aac5997a99d4,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x07840bd8212039fe9d108dca7e5af53b5a8c10e2,87,55,0,28,4,446,8,0.16081330868761554,0.8243992606284658,0.014787430683918669,0.632183908045977,0.0,0.3218390804597701,0.04597701149425287,0
0x078c2b3b09528fd7b80c9ee715f378d382f9139b,44,44,0,0,0,346,0,0.11282051282051282,0.8871794871794871,0.0,1.0,0.0,0.0,0.0,0
