address,value_out,value_in,balance,degree,degree_in,degree_out,max_value,min_value,mean_value,std_value,median_value,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,0,1,2,3,4,5,6,7,8,9,label
0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,17.3569,17.359905362694015,-0.0030053626940151,24,22,2,10.3599,0.02,1.4465335567789177,2.430506693569699,0.562858945,119,119,0,0,0,812,8,0.12673056443024494,0.8647497337593184,0.008519701810436636,1.0,0.0,0.0,0.0,10111.386604871443,74144.35425889073,38400.7643150608,119764.88033017666,98075.95537613524,16694.498080901605,67737.6568770415,12048.175882115327,51765.32821164016,18349.783299689905,0
0xb00548770ea87482f024cd4292a975fea72e8f01,408.7082809234244,1.9636404147978157,406.74464050862656,644,56,589,50.0,0.0,0.6376737908978605,4.060541120595876,0.0,0,0,0,0,0,0,0,,,,,,,,10279.56913519861,74299.00392382697,38537.730553971945,119926.3272980135,98172.60238879772,16857.833011993553,67899.34091593613,12212.29875437871,51926.262011639934,18512.909266047776,0
0xb0091be2ea814275a4590afbdf7c609c8e27bfee,2.1,2.1323769125271914,-0.0323769125271917,17,5,12,1.6188177938368051,0.0,0.2489633477957171,0.4295634698263891,0.1,142,64,0,78,0,32,398,0.24825174825174826,0.055944055944055944,0.6958041958041958,0.4507042253521127,0.0,0.5492957746478874,0.0,10119.036746017353,74152.1863791404,38407.418272186165,119772.70979227524,98080.81824482027,16702.327424203562,67745.48602946784,12056.005045458043,51773.07066535477,18357.605935366075,0
0xb020561cdcf6c68b1df1ac5cd3a682c7ee352aeb,6.18003461629536,6.182113616295359,-0.0020789999999992,16,15,1,6.18003461629536,0.02325365,0.7726342645369197,1.5162896644818158,0.3580778239114234,59,59,0,0,0,640,0,0.0844062947067239,0.9155937052932761,0.0,1.0,0.0,0.0,0.0,10117.05065047236,74150.04529256158,38405.644720143486,119770.5744370148,98079.50395165336,16700.192055453677,67743.35076748971,12053.869583416938,51770.958325729334,18355.473123332056,0
0xb0473323f6d0eee8732fbc6af8f32504ce897611,50.64,28.216,22.424000000000003,13,2,11,28.38,0.0,6.065846153846154,11.2418210701985,0.15,40,15,0,20,5,10,60,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.375,0.0,0.5,0.125,10105.062317142527,74137.64459873128,38395.444173256335,119758.48757987437,98072.35828958571,16688.109560762703,67731.26439072752,12041.788211108973,51758.93108540227,18343.389751496263,0
0xb0608ca76d2ec6984f652829e887811516e4b846,31.15883238976783,31.155693389767837,0.0031389999999973,23,22,1,31.15883238976783,0.11550885,2.7093272078058983,6.406911077449837,0.527,74,74,0,0,0,1032,0,0.06690777576853527,0.9330922242314648,0.0,1.0,0.0,0.0,0.0,10106.425602321424,74138.77303191053,38395.95792366052,119759.29586202599,98071.6664042947,16688.913571739344,67732.07317110802,12042.591496728128,51759.9199940795,18344.20910755963,0
0xb079227f2a088ff095eb088b3d5ba863d3ab6d31,0.5861076690250565,0.6019978059587405,-0.015890136933684,13,8,5,0.5671076690250565,0.0,0.0913927288449074,0.1477109717371276,0.066782399966316,121,29,0,68,24,226,42,0.3110539845758355,0.5809768637532133,0.10796915167095116,0.2396694214876033,0.0,0.5619834710743802,0.19834710743801653,10119.884558868664,74153.00767801164,38408.12969939682,119773.53810813717,98081.32017859831,16703.15572635427,67746.31435802544,12056.833251765676,51773.89694807867,18358.434318752064,0
0xb0817e9b63068e2d8719dd067ed874e97bff2584,0.0,0.02,-0.02,23,20,3,0.001,0.0,0.0008695652173913,0.000344350221575,0.001,5,0,0,0,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10120.202588435604,74153.31779049373,38408.3919081408,119773.84830034005,98081.50702112663,16703.465917714144,67746.62455171572,12057.143431562432,51774.205580330105,18358.744515908496,0
0xb08e4aa5ff20d95e707510880b6134c130fa286e,76.26550497999963,76.267601894,-0.0020969140003614,63,32,31,51.200308586,0.0,2.4211604265714226,8.963668332192784,0.200315,144,82,4,45,13,796,14,0.1509433962264151,0.8343815513626834,0.014675052410901468,0.5694444444444444,0.027777777777777776,0.3125,0.09027777777777778,10093.03159579784,74125.34289686572,38384.805185972036,119745.85124693386,98064.80968572258,16675.46887492523,67718.62753451763,12029.146444686541,51746.36670587319,18330.751621372063,0
0xb0ce77a4f5c02b92235d6829c94b2d27f939abe1,11.7128068,11.713856800000002,-0.0010500000000028,28,27,1,11.7128068,0.00107098,0.8366665571428572,2.1975916942137874,0.31587,64,64,0,0,0,1258,0,0.048411497730711045,0.9515885022692889,0.0,1.0,0.0,0.0,0.0,10114.40491521822,74147.32139857333,38403.279875783344,119767.84908173783,98077.81121419561,16697.466705342078,67740.62558880504,12051.144282397385,51768.27199991504,18352.7519151916,0
0xb0D2d2791657ce6CdF48b77A1E10F62E9b4Ee74B,0.0,0.0,0.0,6,0,0,6.5733741,0.5,2.1912997,2.4606361062900413,0.9,25,25,0,0,0,100,0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,10112.8456606813,74146.38701842677,38402.33164225424,119766.65841406991,98077.22476233296,16696.279146856577,67739.43502251421,12049.960015316532,51767.055639872655,18351.557782455304,0
0xb0dd2b7fea3c5790b39433cbd3e8fd35fd3cf662,55.65899999999999,337.9292746527286,-282.27027465272863,1476,1472,4,14.94,0.0,0.2666587226644503,0.7481550685989387,0.2,93,11,82,0,0,2532,0,0.03542857142857143,0.9645714285714285,0.0,0.11827956989247312,0.8817204301075269,0.0,0.0,9967.006458756247,74006.99050964124,38280.856826385745,119621.8084669213,97991.21834182649,16552.86414712305,67594.76186367292,11907.235373655858,51623.31052193734,18207.99973026426,0
0xb0f5b1c692d60e7d43fdbcbe2f5756b21e433655,2.511977,2.5133,-0.0013230000000001,6,3,3,1.5,0.499677,0.8375461666666667,0.5131673794271872,0.5127999999999999,42,5,8,19,5,26,30,0.42857142857142855,0.2653061224489796,0.30612244897959184,0.11904761904761904,0.19047619047619047,0.4523809523809524,0.11904761904761904,10119.809293288938,74152.96073803761,38408.05812158342,119773.49131431663,98081.03912504422,16703.108937195648,67746.26771119198,12056.786527587414,51773.843147241,18358.384826556765,0
0xb0ff9d4a1e43a5ea87961e4148ca3d60bc073d67,8.872861170461137,8.876380452021946,-0.0035192815608091,52,50,2,8.713941820461137,0.0105804520219469,0.3413315696631362,1.2020829739788246,0.1,97,61,7,27,2,1754,2,0.052347544522396115,0.9465731246627092,0.0010793308148947653,0.6288659793814433,0.07216494845360824,0.27835051546391754,0.020618556701030927,10115.586965671637,74148.92277729991,38404.58445826691,119769.34719824244,98078.80399488988,16698.965952512408,67742.12356541769,12052.645070741455,51769.729594824756,18354.24425769375,0
0xb101f0eb0a8938769d4c3fd4f933b11627ca3768,0.0,2.05,-2.05,565,564,0,2.05,0.0,0.0036283185840707,0.0862441481918926,0.0,0,0,0,0,0,2814,0,0.0,1.0,0.0,,,,,10119.064195908744,74152.2459500031,38407.454556025405,119772.73643579135,98080.84473698132,16702.354128458086,67745.51269181546,12056.031978762572,51773.09980555582,18357.632775020316,0
0xb119ea0fa97c926dd55ff11cb90a1a0d578dc57e,3.0261241400000003,3.03313514,-0.0070109999999998,6,4,2,2.99008514,0.01105,1.0098765466666666,1.216712684522949,0.755,30,20,0,10,0,30,10,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.0,0.3333333333333333,0.0,10118.563118248088,74151.67425277457,38407.00815966976,119772.20416503394,98080.52746052845,16701.821788519155,67744.98042041236,12055.499336907933,51772.571025290235,18357.100645242208,0
